"","Family","biomass_production_mean","biomass_production_sd","biomass_production_stderr","production_mean","production_sd","production_stderr","abundance_mean","abundance_sd","abundance_stderr","turnover_mean","turnover_sd","turnover_stderr"
"24","Ostraciidae",20.3107511229752,NA,NA,9.7784425582826,NA,NA,0.162074554294976,NA,NA,0.133322596256669,NA,NA
"25","Pomacanthidae",8.85329414990799,9.25399181193343,2.67139733184918,4.03032304354221,2.63735931573285,0.761340055444063,0.2138461165597,0.112140205414788,0.0323720888916038,0.431203832699602,0.351022504399782,0.101331468703415
"26","Pomacentridae",16.9407099087629,21.2239278620586,3.12929744127234,16.3121703189125,19.0963095386454,2.8155972337173,14.7704927865081,20.4812566921,3.0197965511938,0.605219132041202,0.212326818402441,0.0313058814494015
"27","Priacanthidae",8.86389999913558,NA,NA,2.38483080077978,NA,NA,0.163141131015013,NA,NA,0.0889243164779137,NA,NA
"28","Sciaenidae",3.14489616701488,2.75329972890872,1.23131307125433,2.36213642288696,1.91173789301371,0.854955176788177,0.836668940173334,0.605032905170178,0.27057894091694,0.474332357950543,0.1541971208871,0.0689590488476617
"29","Scombridae",16.5198746464269,11.4356915744847,4.66860153555537,6.74825349424028,3.40216993220208,1.38893005868906,0.268305535334698,0.270709344694216,0.110516627184006,0.215560442169973,0.0806324588918066,0.0329180634984778
"30","Scorpaenidae",13.2537366389721,9.18376054453144,3.74925454233444,5.93909965798923,2.65081327044149,1.08218998599666,0.378538571826512,0.301004174158216,0.122884439522579,0.230738976819008,0.140499121545667,0.0573585261826929
"31","Serranidae",7.87596880196579,10.0305260483307,1.47892038182854,9.81099776156135,13.4817355747295,1.98777346550119,8.90855432944178,12.7881874075267,1.88551536704115,0.973528759049923,0.730348891795201,0.107684069281846
"32","Sparidae",6.48463440422524,10.444411760638,6.03008394153165,2.90582665384842,3.29137087337972,1.90027385974867,0.505628493480525,0.487456733351803,0.281433276218959,1.58032927085982,1.38342210712741,0.798719125952888
"33","Synodontidae",12.2187753165574,12.9679447164923,5.7994411829072,1.7128510181574,0.754298387980818,0.337332494168724,0.131199892689905,0.0668648510140134,0.0299028704345459,0.121807391721487,0.0788379349538876,0.0352573963525199
"34","Tetraodontidae",0.690241137551676,1.19690697775882,0.214970839238327,0.472746337605576,0.661233981854606,0.118761129021364,0.531158406620026,0.600386194691251,0.107832543830228,0.673036904053811,0.418833790528158,0.0752247694468287
