"","Family","Genus","Species","a_mean","b_mean","Lmax"
"58","Chaenopsidae","Lucayablennius","Lucayablennius zingaro",0.007978,2.955,7.01880000114441
"59","Ostraciidae","Acanthostracion","Acanthostracion quadricornis",0.11053,2.64366666666667,55
"60","Pomacanthidae","Holacanthus","Holacanthus ciliaris",0.0336,2.9,45
"61","Carangidae","Caranx","Caranx ruber",0.0197,2.86,92.5384615384615
"62","Chaenopsidae","Emblemariopsis","Emblemariopsis signifer",0.007978,2.955,4
"63","Clupeidae","Jenkinsia","Jenkinsia lamprotaenia",0.0029,3.6081,7.5
"64","Lutjanidae","Lutjanus","Lutjanus jocu",0.01446,3.0722,128
"65","Pomacanthidae","Pomacanthus","Pomacanthus arcuatus",0.0344,2.968,60
"66","Pomacentridae","Microspathodon","Microspathodon chrysurus",0.0257,3,21
"67","Sparidae","Calamus","Calamus bajonado",0.01234,3.05,41.127272865989
"68","Scombridae","Scomberomorus","Scomberomorus regalis",0.0113297368421053,2.92117105263158,183
"69","Lutjanidae","Ocyurus","Ocyurus chrysurus",0.02645,2.7527,86.3000030517578
"70","Serranidae","Hypoplectrus","Hypoplectrus spp.",0.009,3.04,13.9537498950958
"71","Acanthuridae","Acanthurus","Acanthurus coeruleus",0.0201238095238095,2.95905238095238,39
"72","Gobiidae","Elacatinus","Elacatinus spp.",0.0117166666666667,3.071,4.43999999219721
"73","Chaetodontidae","Chaetodon","Chaetodon striatus",0.0256,3.06,16
"74","Labridae","Sparisoma","Sparisoma chrysopterum",0.0154,3.0423,46
"75","Haemulidae","Haemulon","Haemulon macrostomum",0.0180994117647059,2.9944,38.2473684612073
"76","Sparidae","Sparidae","Sparidae spp.",0.017372183908046,3.02917415229885,54.749056582181
"77","Mullidae","Pseudupeneus","Pseudupeneus maculatus",0.004165,3.4067,30
"78","Holocentridae","Holocentrus","Holocentrus adscensionis",0.0586025,2.756025,61
"79","Pomacanthidae","Pomacanthus","Pomacanthus paru",0.06975,2.96,41.0999984741211
"80","Grammatidae","Gramma","Gramma loreto",0.01122,3.04,8
"81","Haemulidae","Anisotremus","Anisotremus virginicus",0.0247833333333333,3.0005,40.5999984741211
"82","Labridae","Halichoeres","Halichoeres pictus",0.0114404347826087,3.10914782608696,13
"83","Tetraodontidae","Sphoeroides","Sphoeroides spengleri",0.023608,2.89464,30
"84","Clupeidae","Clupeidae","Clupeidae spp.",0.00640015748031496,3.08057874015748,38.6000003814697
"85","Labridae","Sparisoma","Sparisoma rubripinne",0.0196,2.99,47.7999992370605
"86","Serranidae","Rypticus","Rypticus saponaceus",0.00681666666666667,3.228,35
"87","Gobiidae","Microgobius","Microgobius microlepis",0.00624333333333333,2.979,6.22500002384186
"88","Pomacentridae","Stegastes","Stegastes diencaeus",0.0244111111111111,3.0119,12.5
"89","Haemulidae","Haemulon","Haemulon carbonarium",0.0180994117647059,2.9944,36
"90","Gobiidae","Elacatinus","Elacatinus illecebrosus",0.0117166666666667,3.071,4
"91","Labridae","Scarus","Scarus trispinosus",0.0190767567567568,3.03231351351351,51.3033333672418
"92","Serranidae","Hypoplectrus","Hypoplectrus gemma",0.009,3.04,13.9537498950958
"93","Scombridae","Scomberomorus","Scomberomorus maculatus",0.0113297368421053,2.92117105263158,165.439999389648
"94","Monacanthidae","Cantherhines","Cantherhines pullus",0.0684,2.563,20
"95","Carangidae","Caranx","Caranx crysos",0.01745,2.9615,70
"96","Labridae","Halichoeres","Halichoeres maculipinna",0.00276,3.693,18
"97","Batrachoididae","Batrachoididae","Batrachoididae spp.",0.0104472972972973,3.13098648648649,30.7875609746793
"98","Pomacanthidae","Pomacanthus","Pomacanthus spp.",0.03622,2.95754545454545,43.3444442749023
"99","Holocentridae","Holocentrus","Holocentrus rufus",0.0256,2.6394,35
"100","Chaenopsidae","Hemiemblemaria","Hemiemblemaria simulus",0.007978,2.955,10
"101","Diodontidae","Diodon","Diodon hystrix",0.336666666666667,2.36433333333333,91
"102","Ephippidae","Chaetodipterus","Chaetodipterus faber",0.0470083333333333,2.93158333333333,91
"103","Acanthuridae","Acanthurus","Acanthurus tractus",0.0348,2.6894,32.9241379376115
"104","Labridae","Scarus","Scarus coelestinus",0.0153,3.062,77
"105","Labridae","Scarus","Scarus guacamaia",0.0155,3.0629,120
"106","Serranidae","Epinephelus","Epinephelus guttatus",0.01435,3.036,76
"107","Carangidae","Decapterus","Decapterus macarellus",0.00783,3.14,46
"108","Lutjanidae","Lutjanus","Lutjanus mahogoni",0.00763,3.15,48
"109","Pomacentridae","Stegastes","Stegastes leucostictus",0.0277,2.8711,10
"110","Labridae","Scarus","Scarus taeniopterus",0.0224966666666667,2.92666666666667,35
"111","Gerreidae","Gerres","Gerres cinereus",0.0243333333333333,2.82306666666667,41
"112","Haemulidae","Haemulon","Haemulon sciurus",0.0139,3.0742,46
"113","Serranidae","Cephalopholis","Cephalopholis fulva",0.0257,2.977,44
"114","Serranidae","Epinephelus","Epinephelus adscensionis",0.01187,3.14,65
"115","Serranidae","Hypoplectrus","Hypoplectrus chlorurus",0.009,3.04,15
"116","Priacanthidae","Priacanthus","Priacanthus arenatus",0.01724,2.94666666666667,50
"117","Opistognathidae","Opistognathus","Opistognathus aurifrons",0.01228,2.995,10
"118","Gobiidae","Coryphopterus","Coryphopterus dicrus",0.01142,3.0844,5
